pcon24cd,second_place_party_name,votes,person
E14001509,ref,9115,Malcolm James Webster
E14001159,con,15461,Vicky Ford
E14001335,con,16422,Michael Fabricant
E14001270,lab,13786,Primesh Patel
S14000063,snp,11324,Anum Qaisar
N05000017,sf,14236,Catherine Nelson
E14001362,con,15468,Luke Gardiner
E14001227,con,16988,Mhairi Fraser
S14000075,lab,14869,Richard McCready
W07000088,pc,8119,Lindsay Whittle
E14001548,con,14819,Ian Liddell-Grainger
E14001118,other,7909,Talat Sajawal
E14001374,lab,10812,Sally Johnston
N05000001,apni,17218,Naomi Long
E14001231,con,6288,Tessa Tucker
E14001289,con,14958,Bim Afolami
E14001323,green,5838,Ed Carlisle
E14001266,lab,16236,Hajira Hanif Piranie
E14001071,con,14451,Rob Butler
E14001421,green,7585,Claire Frances Sheppard
E14001134,green,8389,Mary Page
E14001564,ref,9540,Trevor Nicholls
E14001358,lab,12208,Sarah Alan
E14001476,lab,13002,Hanif Ahmad Khan
E14001533,ld,9916,Danielle Newson
E14001163,con,10388,Simon Eardley
E14001499,con,9677,Sidney Yankson
E14001460,lab,13303,Matt Aldridge
E14001175,ld,6161,Ben Curtis
E14001525,green,7511,Joe Hudson-Small
E14001319,green,7431,Chris Foren
E14001437,ref,12135,Grant Robert Joseph Randall
E14001067,ld,9867,Richard James Allen
E14001572,con,12501,Meg Powell-Chandler
E14001088,lab,13529,Christine Bayliss
E14001122,con,6323,Jamila Robertson
E14001293,green,7060,Fabio Vollono
E14001339,ref,5787,Joseph Doran
E14001155,lab,16770,Ollie Pearson
E14001505,lab,12448,Claire Tighe
E14001440,con,12340,Jacob Young
E14001381,con,12955,Anne Marie Morris
W07000092,pc,9423,Kiera Marshall
E14001552,ld,12099,Phil Hutty
E14001102,lab,10386,Kate Hollern
E14001417,lab,12386,Ju Owens
S14000080,snp,7725,Simita Kumar
E14001378,ref,8383,Janice Richardson
E14001397,con,12788,Anne-Marie Trevelyan
E14001114,con,13510,Matt Warman
E14001544,lab,11994,Lisa Banes
W07000084,pc,3844,Niamh Salkeld
S14000079,snp,13537,Deidre Brock
S14000096,snp,10290,Lyn Jardine
E14001401,con,14746,Shailesh Vara
E14001285,con,20275,Guy Opperman
E14001513,con,13936,Theo Clarke
E14001143,con,13956,Kate Kniveton
E14001456,ld,10815,Ellen Nicholson
E14001211,ref,10232,Lynn Murphy
E14001354,green,8084,Sam Easterby-Smith
E14001587,con,16118,Flick Drummond
S14000110,snp,13963,Alan Brown
W07000102,ref,8894,Oliver Lewis
E14001568,con,10985,Dean Russell
E14001092,con,8231,Ashvir Sangha
E14001138,lab,13517,Neena Gill
E14001246,con,11590,Rehman Chishti
E14001303,ref,7104,Sarah Morris
E14001180,ref,6685,Iddrisu Sufyan
E14001495,lab,15804,Sarah Allen
E14001250,lab,15409,Liam Derek Henry Draycott
E14001600,con,11444,Steve Baker
E14001315,ref,8896,Julie Peck
E14001196,lab,8707,Heather Iqbal
E14001529,con,14219,Siobhan Baillie
E14001179,con,14689,Tom Pursglove
E14001483,con,13566,Heather Wheeler
E14001207,con,8345,James Windsor-Clive
E14001342,con,12289,Jane Hunt
S14000106,snp,13302,Martin Docherty-Hughes
E14001591,con,16493,Robert Courts
E14001084,con,8912,Pinder Jit Chauhan
S14000107,snp,10776,Allan Dorans
E14001590,lab,13682,Rumi Chowdhury
E14001085,ld,9070,Rachel Bentley
E14001206,con,14309,Andrew Selous
E14001343,ref,11935,Sean Roger Matthews
E14001197,con,15560,David Mervyn Johnston
E14001528,con,6492,Mark Cornes
E14001178,con,15488,Fiona Bruce
E14001482,con,17988,James Gray
E14001251,ref,5142,Lee Moffitt
E14001601,lab,13677,Vicki Smith
E14001314,ref,7801,Martin Baker
E14001181,con,8522,Tom Mercer
E14001494,lab,13035,Emma Bishton
E14001247,con,13753,Faye Purbrick
E14001302,con,11696,Tom Hunt
E14001586,con,12180,Danielle Dunfield-Prayero
S14000111,snp,13987,Glen David Reynolds
W07000103,ref,10170,Dai Richards
E14001569,con,14873,Richard Rout
E14001093,ref,7755,Jack Brookes
E14001139,lab,12952,Catherine Deakin
E14001210,con,17361,Pauline Alison Jorgensen
E14001355,con,12563,Ben Bradley
E14001512,con,14896,Anthony Browne
E14001142,ld,9178,Gordon Birtwistle
E14001457,con,17865,Ruth Edwards
E14001284,lab,13459,Josh Tapper
E14001115,con,12837,Tobias Ellwood
E14001545,con,17801,Luke Hall
W07000085,con,12264,Fay Jones
S14000078,snp,15075,Tommy Sheppard
S14000097,snp,12676,Amy Callaghan
E14001400,con,12529,Craig Tracey
E14001379,con,6678,Guy Renner-Thompson
E14001396,con,16903,Duncan Baker
W07000093,ld,6949,Mark Williams
E14001553,green,7632,David Craig
E14001103,ref,6614,Alison Devine
E14001416,other,8256,Zaffar Iqbal
S14000081,snp,12446,Joanna Cherry
E14001380,con,10923,Simon John Tagg
E14001154,ref,12234,Keiron Anthony McGill
E14001504,con,11463,Damien Moore
E14001441,con,14021,Rachel Maclean
E14001292,ref,13317,Nicholas Palmer
E14001338,green,5246,Christopher Coughlan
E14001436,ref,9704,Adam Wood
E14001066,ref,12192,Alex Stevenson
E14001573,con,16078,Grant Shapps
E14001089,con,13603,Mark Brooks
E14001123,con,13465,Sushil Rapatwar
E14001318,con,10062,Peter Gordon Cartridge
E14001461,con,12350,Roberto Weeden-Sanz
E14001174,con,12820,Giles Watling
E14001524,con,12265,Suzanne Webb
E14001477,other,11019,Azhar Iqbal Chohan
E14001532,con,15747,Ed McGuinness
E14001162,con,18971,Gareth David Williams
E14001498,lab,12374,Evelyn Akoto
E14001359,lab,15591,Maahwish Mirza
E14001070,ref,8784,Robert Barrowcliffe
E14001420,con,8520,Vinay Raniga
E14001135,green,10855,Jai Breitnauer
E14001565,con,11861,Andy Carter
E14001288,ld,11624,Michael Mullaney
E14001322,con,10986,Thomas Averre
E14001267,con,13809,Hannah Ellis
E14001375,lab,17396,Saj Ahmad
E14001230,con,16312,John Cope
S14000074,snp,10757,Kim Marshall
W07000089,ld,6736,Rodney Berman
E14001549,lab,9351,Lewis William John Bailey
E14001119,ref,7441,Ian Peter Eglin
N05000016,apni,10428,Michelle Guy
E14001363,con,20090,Michael Tomlinson
E14001226,lab,12356,Rosalind Anne Doré
S14000062,con,12513,Douglas Gordon Ross
E14001334,green,6791,Charlotte Lafferty
E14001271,con,13191,Abbas Merali
E14001508,con,13488,Steve Double
E14001158,con,11446,Mary Robinson
E14001295,ref,11668,Sam David Woods-Brass
E14001153,con,12221,Elliot Colburn
E14001503,con,8037,Eric Sukumaran
E14001446,other,11587,George Galloway
E14001368,con,16254,Simon Clarke
E14001387,con,15076,Selaine Saxby
E14001554,con,12632,Cherilyn Mackrory
E14001104,con,12097,Paul Maynard
S14000069,snp,12247,Lucy Beattie
W07000094,con,13862,James Davies
S14000086,snp,11002,Anne McLaughlin
E14001411,ref,7053,Golam Kadiri
E14001391,con,15838,Lee Rowley
W07000082,ref,9601,Vicki Roskams
E14001112,con,12418,Chris Green
E14001542,con,14468,Laurence Robertson
E14001407,con,12819,Andrew Iain Lewer
S14000090,snp,13040,John Beare
E14001329,ref,11090,George Woodward
E14001283,con,16060,Julie Marson
E14001515,ref,7781,Barbara Kaya
