pcon24cd,majority_votes
E14001509,lab
E14001159,null
E14001335,null
E14001270,con
S14000063,lab
N05000017,null
E14001362,null
E14001227,null
S14000075,null
W07000088,null
E14001548,null
E14001118,null
E14001374,null
N05000001,null
E14001231,null
E14001289,null
E14001323,lab
E14001266,null
E14001071,null
E14001421,lab
E14001134,null
E14001564,null
E14001358,null
E14001476,null
E14001533,null
E14001163,null
E14001499,null
E14001460,null
E14001175,lab
E14001525,null
E14001319,lab
E14001437,null
E14001067,null
E14001572,null
E14001088,null
E14001122,lab
E14001293,lab
E14001339,lab
E14001155,null
E14001505,null
E14001440,null
E14001381,null
W07000092,null
E14001552,null
E14001102,null
E14001417,null
S14000080,lab
E14001378,lab
E14001397,null
E14001114,null
E14001544,null
W07000084,lab
S14000079,null
S14000096,null
E14001401,null
E14001285,null
E14001513,null
E14001143,null
E14001456,null
E14001211,null
E14001354,lab
E14001587,ld
S14000110,null
W07000102,null
E14001568,null
E14001092,null
E14001138,null
E14001246,null
E14001303,null
E14001180,null
E14001495,null
E14001250,null
E14001600,null
E14001315,null
E14001196,null
E14001529,null
E14001179,null
E14001483,null
E14001207,null
E14001342,null
S14000106,null
E14001591,null
E14001084,null
S14000107,null
E14001590,null
E14001085,null
E14001206,null
E14001343,null
E14001197,null
E14001528,null
E14001178,null
E14001482,null
E14001251,lab
E14001601,null
E14001314,null
E14001181,null
E14001494,null
E14001247,null
E14001302,null
E14001586,null
S14000111,null
W07000103,null
E14001569,null
E14001093,null
E14001139,null
E14001210,null
E14001355,null
E14001512,null
E14001142,null
E14001457,null
E14001284,null
E14001115,null
E14001545,null
W07000085,null
S14000078,null
S14000097,null
E14001400,null
E14001379,lab
E14001396,null
W07000093,null
E14001553,lab
E14001103,lab
E14001416,null
S14000081,null
E14001380,null
E14001154,null
E14001504,null
E14001441,null
E14001292,null
E14001338,lab
E14001436,null
E14001066,null
E14001573,null
E14001089,null
E14001123,null
E14001318,null
E14001461,null
E14001174,null
E14001524,null
E14001477,null
E14001532,null
E14001162,null
E14001498,null
E14001359,null
E14001070,null
E14001420,ld
E14001135,null
E14001565,null
E14001288,null
E14001322,null
E14001267,null
E14001375,null
E14001230,ld
S14000074,null
W07000089,null
E14001549,null
E14001119,null
N05000016,null
E14001363,null
E14001226,null
S14000062,null
E14001334,null
E14001271,null
E14001508,null
E14001158,null
E14001295,null
E14001153,null
E14001503,lab
E14001446,null
E14001368,null
E14001387,null
E14001554,null
E14001104,null
S14000069,null
W07000094,null
S14000086,null
E14001411,null
E14001391,null
W07000082,null
E14001112,null
E14001542,null
E14001407,null
S14000090,null
E14001329,null
E14001283,null
E14001515,null
E14001145,null
E14001450,null
E14001217,null
E14001352,lab
E14001581,null
E14001094,null
W07000104,null
E14001240,null
E14001305,null
E14001186,null
E14001169,null
E14001493,null
E14001539,null
E14001256,null
E14001313,null
E14001190,null
E14001485,null
E14001201,null
E14001344,null
E14001597,null
S14000100,ld
W07000112,null
S14000045,null
E14001128,null
E14001578,null
E14001082,null
E14001333,lab
E14001299,null
E14001276,lab
W07000098,null
S14000065,null
E14001108,null
E14001558,null
N05000011,null
E14001364,null
E14001221,null
S14000073,null
E14001372,null
N05000007,null
E14001237,null
E14001149,null
E14001519,null
E14001325,null
E14001260,lab
E14001077,null
E14001427,null
W07000108,null
E14001132,null
E14001562,null
E14001098,null
E14001470,lab
E14001535,null
E14001165,null
E14001309,null
E14001466,lab
E14001173,null
E14001489,null
E14001523,null
E14001431,null
E14001574,null
E14001124,null
E14001348,null
E14001349,null
E14001430,null
E14001575,ld
E14001125,null
S14000048,null
E14001467,lab
E14001172,null
E14001488,null
E14001522,null
E14001308,null
E14001471,null
E14001534,null
E14001164,null
E14001076,null
E14001426,null
W07000109,null
E14001133,null
E14001563,lab
E14001099,null
E14001324,null
E14001261,null
E14001148,null
E14001518,null
E14001373,null
N05000006,null
E14001236,null
S14000072,null
N05000010,sf
E14001365,null
E14001220,null
W07000099,null
S14000064,null
E14001109,null
E14001559,lab
E14001332,lab
E14001298,null
E14001277,null
E14001596,null
S14000101,null
E14001129,null
E14001579,null
E14001083,null
E14001200,lab
E14001345,null
E14001191,null
E14001484,null
E14001257,lab
E14001312,ld
E14001187,null
E14001168,null
E14001492,null
E14001538,null
E14001241,null
E14001304,null
E14001580,ld
E14001095,null
W07000105,null
E14001216,null
E14001353,lab
E14001514,null
E14001144,null
E14001451,null
E14001328,null
E14001282,null
W07000083,null
E14001113,lab
E14001543,null
E14001406,null
S14000091,null
E14001390,null
E14001555,null
E14001105,null
