person_id,person_name,election_id,ballot_paper_id,election_date,election_current,party_name,party_id,post_label,cancelled_poll,seats_contested,gss,image,favourite_biscuit,party_key,pcon24cd
22533,Allan Dorans,parl.2024-07-04,parl.ayr-carrick-and-cumnock.2024-07-04,2024-07-04,t,Scottish National Party (SNP),PP102,"Ayr, Carrick and Cumnock",f,1,S14000006,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/22533/4ed6ef57-1868-46a4-91d9-f60459df5304.png,,snp,S14000107
116211,David James Wilson,parl.2024-07-04,parl.berwickshire-roxburgh-and-selkirk.2024-07-04,2024-07-04,t,Scottish National Party (SNP),PP102,"Berwickshire, Roxburgh and Selkirk",f,1,S14000008,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/116211/efc56bb4-83a4-4e18-806c-0184deb82875.png,,snp,S14000108
20376,Annie McIndoe,parl.2024-07-04,parl.central-ayrshire.2024-07-04,2024-07-04,t,Scottish National Party (SNP),PP102,Central Ayrshire,f,1,S14000010,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/20376/3e9b381f-7836-41b2-a623-81f8e7689ad5.png,,snp,S14000109
5921,Alan Brown,parl.2024-07-04,parl.kilmarnock-and-loudoun.2024-07-04,2024-07-04,t,Scottish National Party (SNP),PP102,Kilmarnock and Loudoun,f,1,S14000040,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/5921/018e68a7-9ec5-4c03-863a-112376554d25.png,,snp,S14000110
21276,Glen David Reynolds,parl.2024-07-04,parl.west-aberdeenshire-and-kincardine.2024-07-04,2024-07-04,t,Scottish National Party (SNP),PP102,West Aberdeenshire and Kincardine,f,1,S14000058,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/21276/8fc94b10-abfa-4e2e-a03f-e6fe7fc476bb.png,,snp,S14000111
2454,Naomi Long,parl.2024-07-04,parl.belfast-east.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Belfast East,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/images/2454-e112a0fb-2c92-4d45-ae66-da5d41500530.png,,apni,N05000001
11374,Nuala McAllister,parl.2024-07-04,parl.belfast-north.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Belfast North,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/11374/822fe2f0-961e-43a8-8a8d-9c74298f4325.png,,apni,N05000002
6989,Kate Nicholl,parl.2024-07-04,parl.belfast-south-and-mid-down.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Belfast South and Mid Down,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/551bd23d209513973bc5129b.png,,apni,N05000003
95765,Eóin Millar,parl.2024-07-04,parl.belfast-west.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Belfast West,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/95765/cf029c62-313d-4b7e-b7e2-860adddf702f.png,,apni,N05000004
9805,Danny Donnelly,parl.2024-07-04,parl.east-antrim.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,East Antrim,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/images/9805.png,,apni,N05000005
95844,Richard Stewart,parl.2024-07-04,parl.east-londonderry.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,East Londonderry,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/95844/6ab716c4-a1ae-49d4-a6c7-cf73e89e52c1.png,,apni,N05000006
95790,Eddie Roofe,parl.2024-07-04,parl.fermanagh-and-south-tyrone.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Fermanagh and South Tyrone,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/95790/67040424-fe56-410e-b266-7b4aa5eccebd.png,,apni,N05000007
50319,Rachael Ferguson,parl.2024-07-04,parl.foyle.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Foyle,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/50319/ac41b688-2278-4c39-a97f-d502653ad6e6.png,,apni,N05000008
19688,Sorcha-Lucy Eastwood,parl.2024-07-04,parl.lagan-valley.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Lagan Valley,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/images/19688.png,,apni,N05000009
95760,Padraic Farrell,parl.2024-07-04,parl.mid-ulster.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Mid Ulster,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/95760/95fe6e73-f4f2-498d-b034-655a1aa3caec.png,,apni,N05000010
69381,Helena Young,parl.2024-07-04,parl.newry-and-armagh.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Newry and Armagh,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/69381/46541696-9f3f-4223-95e8-2a6331ab8ea7.png,,apni,N05000011
50314,Sian Mulholland,parl.2024-07-04,parl.north-antrim.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,North Antrim,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/images/50314.png,,apni,N05000012
3598,Stephen Farry,parl.2024-07-04,parl.north-down.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,North Down,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/images/3598.png,,apni,N05000013
71629,John Blair,parl.2024-07-04,parl.south-antrim.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,South Antrim,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/images/71629.png,,apni,N05000014
34661,Andrew McMurray,parl.2024-07-04,parl.south-down.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,South Down,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/34661/4d89def9-0e1b-483e-9bc7-aa9fd31f1bb3.png,,apni,N05000015
49643,Michelle Guy,parl.2024-07-04,parl.strangford.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Strangford,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/images/49643.png,,apni,N05000016
50332,Eóin Tennyson,parl.2024-07-04,parl.upper-bann.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,Upper Bann,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/50332/6a91eae1-cce0-4f5b-a895-54542d3c11ca.png,,apni,N05000017
6365,Stephen Donnelly,parl.2024-07-04,parl.west-tyrone.2024-07-04,2024-07-04,t,Alliance - Alliance Party of Northern Ireland,PP103,West Tyrone,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/6365/caf96e6c-c7e6-4525-9b5d-e8c697afc39c.png,,apni,N05000018
5927,Corri Wilson,parl.2024-07-04,parl.ayr-carrick-and-cumnock.2024-07-04,2024-07-04,t,Alba Party,PP12700,"Ayr, Carrick and Cumnock",f,1,S14000006,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/5927/3c39a63f-e5d0-4da4-9200-24f0e21f9e77.png,,alba,S14000107
117138,Korin Matthew Vallance,parl.2024-07-04,parl.ayr-carrick-and-cumnock.2024-07-04,2024-07-04,t,Scottish Green Party,PP130,"Ayr, Carrick and Cumnock",f,1,S14000006,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/117138/050e2edd-9c2d-4ca0-a79f-baa9b24b6c6e.png,,green,S14000107
85813,Neil MacKinnon,parl.2024-07-04,parl.berwickshire-roxburgh-and-selkirk.2024-07-04,2024-07-04,t,Scottish Green Party,PP130,"Berwickshire, Roxburgh and Selkirk",f,1,S14000008,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/85813/b1de97ea-ae7b-4a90-b1e8-3f172b7e8c1a.png,,green,S14000108
117139,Tom Kerr,parl.2024-07-04,parl.central-ayrshire.2024-07-04,2024-07-04,t,Scottish Green Party,PP130,Central Ayrshire,f,1,S14000010,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/117139/aebcad76-74d1-4102-8f01-cf784f23d3a4.png,,green,S14000109
117143,Bex Glen,parl.2024-07-04,parl.kilmarnock-and-loudoun.2024-07-04,2024-07-04,t,Scottish Green Party,PP130,Kilmarnock and Loudoun,f,1,S14000040,/assets/images/missing.svg,,green,S14000110
116856,William Stanley Raymond Linegar,parl.2024-07-04,parl.west-aberdeenshire-and-kincardine.2024-07-04,2024-07-04,t,Scottish Green Party,PP130,West Aberdeenshire and Kincardine,f,1,S14000058,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/116856/d219e5a1-3a4b-468e-8a3f-8248946cdabd.png,,green,S14000111
114644,Allan MacMillan,parl.2024-07-04,parl.central-ayrshire.2024-07-04,2024-07-04,t,Social Democratic Party,PP243,Central Ayrshire,f,1,S14000010,/assets/images/missing.svg,,other,S14000109
50553,Brian Smyth,parl.2024-07-04,parl.belfast-east.2024-07-04,2024-07-04,t,Green Party,PP305,Belfast East,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/50553/0779c86c-17a7-4b09-bd37-a806060e6e8c.png,,green,N05000001
11378,Mal O'Hara,parl.2024-07-04,parl.belfast-north.2024-07-04,2024-07-04,t,Green Party,PP305,Belfast North,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/11378/43d3fe48-98f5-4ff2-b99a-a5eb128ef166.png,,green,N05000002
49791,Áine Groogan,parl.2024-07-04,parl.belfast-south-and-mid-down.2024-07-04,2024-07-04,t,Green Party,PP305,Belfast South and Mid Down,f,1,,https://s3.eu-west-2.amazonaws.com/static-candidates.democracyclub.org.uk/media/images/people/49791/6fd803da-233c-445d-a7d2-93c0239057ee.png,,green,N05000003
