age_band,E14001562
Aged 15 years and under,23.7
Aged 16 to 24 years,11.8
Aged 25 to 34 years,14.2
Aged 35 to 49 years,19.5
Aged 50 to 64 years,16.8
Aged 65 years and over,14.0
