age_band,E14001231
Aged 15 years and under,13.6
Aged 16 to 24 years,24.0
Aged 25 to 34 years,13.8
Aged 35 to 49 years,17.0
Aged 50 to 64 years,15.9
Aged 65 years and over,15.8
