age_band,E14001242
Aged 15 years and under,14.9
Aged 16 to 24 years,7.5
Aged 25 to 34 years,10.0
Aged 35 to 49 years,16.4
Aged 50 to 64 years,23.3
Aged 65 years and over,27.9
