age_band,E14001484
Aged 15 years and under,15.0
Aged 16 to 24 years,7.5
Aged 25 to 34 years,8.8
Aged 35 to 49 years,15.1
Aged 50 to 64 years,23.5
Aged 65 years and over,30.1
