age_band,N05000008
Aged 15 years and under,21.3
Aged 16 to 24 years,10.7
Aged 25 to 34 years,13.0
Aged 35 to 49 years,19.7
Aged 50 to 64 years,19.9
Aged 65 years and over,15.4
