age_band,E14001139
Aged 15 years and under,19.7
Aged 16 to 24 years,9.7
Aged 25 to 34 years,13.0
Aged 35 to 49 years,20.3
Aged 50 to 64 years,19.7
Aged 65 years and over,17.6
