age_band,N05000017
Aged 15 years and under,21.9
Aged 16 to 24 years,9.8
Aged 25 to 34 years,13.5
Aged 35 to 49 years,20.4
Aged 50 to 64 years,18.7
Aged 65 years and over,15.6
