age_band,E14001091
Aged 15 years and under,19.3
Aged 16 to 24 years,9.9
Aged 25 to 34 years,13.0
Aged 35 to 49 years,18.7
Aged 50 to 64 years,20.7
Aged 65 years and over,18.4
