age_band,W07000090
Aged 15 years and under,17.9
Aged 16 to 24 years,12.3
Aged 25 to 34 years,12.5
Aged 35 to 49 years,19.2
Aged 50 to 64 years,19.3
Aged 65 years and over,18.8
