age_band,E14001453
Aged 15 years and under,19.2
Aged 16 to 24 years,9.1
Aged 25 to 34 years,13.8
Aged 35 to 49 years,20.5
Aged 50 to 64 years,19.0
Aged 65 years and over,18.3
