age_band,E14001238
Aged 15 years and under,20.6
Aged 16 to 24 years,9.3
Aged 25 to 34 years,15.1
Aged 35 to 49 years,22.8
Aged 50 to 64 years,17.0
Aged 65 years and over,15.2
