age_band,E14001247
Aged 15 years and under,16.3
Aged 16 to 24 years,9.0
Aged 25 to 34 years,10.1
Aged 35 to 49 years,15.8
Aged 50 to 64 years,22.5
Aged 65 years and over,26.4
