age_band,E14001305
Aged 15 years and under,16.0
Aged 16 to 24 years,11.1
Aged 25 to 34 years,25.5
Aged 35 to 49 years,22.4
Aged 50 to 64 years,15.6
Aged 65 years and over,9.3
