age_band,E14001196
Aged 15 years and under,23.2
Aged 16 to 24 years,12.5
Aged 25 to 34 years,14.0
Aged 35 to 49 years,20.3
Aged 50 to 64 years,16.7
Aged 65 years and over,13.3
