age_band,E14001559
Aged 15 years and under,14.2
Aged 16 to 24 years,14.0
Aged 25 to 34 years,25.0
Aged 35 to 49 years,20.9
Aged 50 to 64 years,17.0
Aged 65 years and over,8.9
