age_band,E14001327
Aged 15 years and under,19.1
Aged 16 to 24 years,22.7
Aged 25 to 34 years,15.0
Aged 35 to 49 years,18.1
Aged 50 to 64 years,14.5
Aged 65 years and over,10.6
