age_band,E14001579
Aged 15 years and under,15.4
Aged 16 to 24 years,8.2
Aged 25 to 34 years,9.0
Aged 35 to 49 years,15.6
Aged 50 to 64 years,23.4
Aged 65 years and over,28.4
