age_band,E14001134
Aged 15 years and under,19.4
Aged 16 to 24 years,13.5
Aged 25 to 34 years,14.0
Aged 35 to 49 years,20.5
Aged 50 to 64 years,16.4
Aged 65 years and over,16.2
