age_band,W07000081
Aged 15 years and under,18.6
Aged 16 to 24 years,9.6
Aged 25 to 34 years,12.4
Aged 35 to 49 years,18.0
Aged 50 to 64 years,20.9
Aged 65 years and over,20.6
