age_band,E14001371
Aged 15 years and under,19.9
Aged 16 to 24 years,10.1
Aged 25 to 34 years,16.7
Aged 35 to 49 years,23.6
Aged 50 to 64 years,17.8
Aged 65 years and over,11.9
