age_band,N05000001
Aged 15 years and under,18.8
Aged 16 to 24 years,8.7
Aged 25 to 34 years,15.8
Aged 35 to 49 years,20.9
Aged 50 to 64 years,19.3
Aged 65 years and over,16.5
