age_band,E14001345
Aged 15 years and under,23.5
Aged 16 to 24 years,11.2
Aged 25 to 34 years,13.3
Aged 35 to 49 years,20.8
Aged 50 to 64 years,17.2
Aged 65 years and over,14.0
