age_band,E14001191
Aged 15 years and under,22.6
Aged 16 to 24 years,8.9
Aged 25 to 34 years,15.6
Aged 35 to 49 years,22.7
Aged 50 to 64 years,17.1
Aged 65 years and over,13.2
