age_band,E14001605
Aged 15 years and under,16.5
Aged 16 to 24 years,8.9
Aged 25 to 34 years,9.6
Aged 35 to 49 years,18.4
Aged 50 to 64 years,21.3
Aged 65 years and over,25.3
