age_band,E14001269
Aged 15 years and under,16.8
Aged 16 to 24 years,9.0
Aged 25 to 34 years,11.0
Aged 35 to 49 years,19.1
Aged 50 to 64 years,21.9
Aged 65 years and over,22.2
