age_band,W07000112
Aged 15 years and under,17.0
Aged 16 to 24 years,8.4
Aged 25 to 34 years,10.2
Aged 35 to 49 years,15.9
Aged 50 to 64 years,22.1
Aged 65 years and over,26.4
