age_band,E14001138
Aged 15 years and under,18.2
Aged 16 to 24 years,8.5
Aged 25 to 34 years,10.4
Aged 35 to 49 years,18.6
Aged 50 to 64 years,21.4
Aged 65 years and over,22.9
