age_band,E14001248
Aged 15 years and under,19.5
Aged 16 to 24 years,11.2
Aged 25 to 34 years,14.5
Aged 35 to 49 years,19.6
Aged 50 to 64 years,19.1
Aged 65 years and over,16.0
