age_band,W07000093
Aged 15 years and under,14.5
Aged 16 to 24 years,13.1
Aged 25 to 34 years,9.8
Aged 35 to 49 years,14.3
Aged 50 to 64 years,21.8
Aged 65 years and over,26.6
