age_band,E14001290
Aged 15 years and under,14.0
Aged 16 to 24 years,20.3
Aged 25 to 34 years,20.2
Aged 35 to 49 years,19.0
Aged 50 to 64 years,15.8
Aged 65 years and over,10.7
