age_band,E14001272
Aged 15 years and under,19.1
Aged 16 to 24 years,9.9
Aged 25 to 34 years,12.3
Aged 35 to 49 years,17.3
Aged 50 to 64 years,21.7
Aged 65 years and over,19.8
