age_band,E14001128
Aged 15 years and under,16.5
Aged 16 to 24 years,8.0
Aged 25 to 34 years,10.5
Aged 35 to 49 years,17.1
Aged 50 to 64 years,23.1
Aged 65 years and over,24.8
