age_band,E14001560
Aged 15 years and under,19.0
Aged 16 to 24 years,9.2
Aged 25 to 34 years,14.2
Aged 35 to 49 years,20.3
Aged 50 to 64 years,19.8
Aged 65 years and over,17.5
