age_band,E14001392
Aged 15 years and under,19.4
Aged 16 to 24 years,8.2
Aged 25 to 34 years,10.6
Aged 35 to 49 years,20.8
Aged 50 to 64 years,21.3
Aged 65 years and over,19.7
