age_band,E14001539
Aged 15 years and under,17.9
Aged 16 to 24 years,7.6
Aged 25 to 34 years,9.5
Aged 35 to 49 years,19.6
Aged 50 to 64 years,21.7
Aged 65 years and over,23.7
