age_band,E14001090
Aged 15 years and under,18.5
Aged 16 to 24 years,8.4
Aged 25 to 34 years,13.6
Aged 35 to 49 years,20.9
Aged 50 to 64 years,20.2
Aged 65 years and over,18.4
