age_band,E14001195
Aged 15 years and under,15.4
Aged 16 to 24 years,7.9
Aged 25 to 34 years,9.1
Aged 35 to 49 years,16.9
Aged 50 to 64 years,24.5
Aged 65 years and over,26.2
