age_band,E14001433
Aged 15 years and under,19.9
Aged 16 to 24 years,15.5
Aged 25 to 34 years,15.6
Aged 35 to 49 years,19.0
Aged 50 to 64 years,17.2
Aged 65 years and over,13.0
