age_band,E14001427
Aged 15 years and under,15.4
Aged 16 to 24 years,18.5
Aged 25 to 34 years,15.8
Aged 35 to 49 years,18.6
Aged 50 to 64 years,17.4
Aged 65 years and over,14.3
