age_band,E14001575
Aged 15 years and under,14.5
Aged 16 to 24 years,7.7
Aged 25 to 34 years,8.3
Aged 35 to 49 years,14.4
Aged 50 to 64 years,23.1
Aged 65 years and over,32.1
