age_band,W07000107
Aged 15 years and under,18.5
Aged 16 to 24 years,10.4
Aged 25 to 34 years,13.0
Aged 35 to 49 years,17.6
Aged 50 to 64 years,20.7
Aged 65 years and over,19.8
