age_band,E14001566
Aged 15 years and under,17.4
Aged 16 to 24 years,12.4
Aged 25 to 34 years,15.3
Aged 35 to 49 years,20.4
Aged 50 to 64 years,17.7
Aged 65 years and over,16.8
