age_band,E14001568
Aged 15 years and under,20.8
Aged 16 to 24 years,9.5
Aged 25 to 34 years,16.0
Aged 35 to 49 years,23.9
Aged 50 to 64 years,17.1
Aged 65 years and over,12.7
