age_band,E14001112
Aged 15 years and under,19.2
Aged 16 to 24 years,9.0
Aged 25 to 34 years,11.9
Aged 35 to 49 years,19.3
Aged 50 to 64 years,20.7
Aged 65 years and over,19.9
