age_band,E14001467
Aged 15 years and under,11.1
Aged 16 to 24 years,35.0
Aged 25 to 34 years,20.4
Aged 35 to 49 years,14.5
Aged 50 to 64 years,10.3
Aged 65 years and over,8.8
