age_band,E14001161
Aged 15 years and under,17.0
Aged 16 to 24 years,11.6
Aged 25 to 34 years,14.0
Aged 35 to 49 years,19.5
Aged 50 to 64 years,19.1
Aged 65 years and over,18.9
