age_band,E14001534
Aged 15 years and under,20.5
Aged 16 to 24 years,8.4
Aged 25 to 34 years,13.1
Aged 35 to 49 years,23.8
Aged 50 to 64 years,18.1
Aged 65 years and over,16.0
