age_band,N05000016
Aged 15 years and under,18.5
Aged 16 to 24 years,9.5
Aged 25 to 34 years,11.3
Aged 35 to 49 years,18.4
Aged 50 to 64 years,21.7
Aged 65 years and over,20.6
