age_band,E14001265
Aged 15 years and under,16.6
Aged 16 to 24 years,9.8
Aged 25 to 34 years,20.1
Aged 35 to 49 years,23.4
Aged 50 to 64 years,16.9
Aged 65 years and over,13.1
