age_band,E14001552
Aged 15 years and under,15.2
Aged 16 to 24 years,7.7
Aged 25 to 34 years,9.4
Aged 35 to 49 years,15.2
Aged 50 to 64 years,23.8
Aged 65 years and over,28.7
