age_band,E14001177
Aged 15 years and under,18.2
Aged 16 to 24 years,8.6
Aged 25 to 34 years,11.6
Aged 35 to 49 years,19.1
Aged 50 to 64 years,22.1
Aged 65 years and over,20.3
