age_band,N05000009
Aged 15 years and under,20.6
Aged 16 to 24 years,9.2
Aged 25 to 34 years,12.9
Aged 35 to 49 years,20.2
Aged 50 to 64 years,19.8
Aged 65 years and over,17.3
