age_band,E14001410
Aged 15 years and under,16.7
Aged 16 to 24 years,24.4
Aged 25 to 34 years,17.2
Aged 35 to 49 years,18.3
Aged 50 to 64 years,14.1
Aged 65 years and over,9.3
