age_band,E14001296
Aged 15 years and under,16.7
Aged 16 to 24 years,9.3
Aged 25 to 34 years,15.2
Aged 35 to 49 years,23.5
Aged 50 to 64 years,20.0
Aged 65 years and over,15.3
