age_band,W07000102
Aged 15 years and under,17.1
Aged 16 to 24 years,8.9
Aged 25 to 34 years,10.8
Aged 35 to 49 years,16.5
Aged 50 to 64 years,22.4
Aged 65 years and over,24.2
