age_band,W07000104
Aged 15 years and under,20.2
Aged 16 to 24 years,10.2
Aged 25 to 34 years,15.7
Aged 35 to 49 years,18.8
Aged 50 to 64 years,18.9
Aged 65 years and over,16.2
