age_band,E14001291
Aged 15 years and under,15.0
Aged 16 to 24 years,7.4
Aged 25 to 34 years,8.6
Aged 35 to 49 years,15.2
Aged 50 to 64 years,22.0
Aged 65 years and over,31.8
