age_band,E14001518
Aged 15 years and under,19.9
Aged 16 to 24 years,9.4
Aged 25 to 34 years,14.0
Aged 35 to 49 years,18.6
Aged 50 to 64 years,20.3
Aged 65 years and over,17.9
