age_band,E14001580
Aged 15 years and under,13.8
Aged 16 to 24 years,7.9
Aged 25 to 34 years,9.8
Aged 35 to 49 years,16.5
Aged 50 to 64 years,24.0
Aged 65 years and over,28.0
