age_band,E14001529
Aged 15 years and under,16.9
Aged 16 to 24 years,8.3
Aged 25 to 34 years,10.4
Aged 35 to 49 years,18.2
Aged 50 to 64 years,22.9
Aged 65 years and over,23.2
