age_band,N05000005
Aged 15 years and under,18.2
Aged 16 to 24 years,9.8
Aged 25 to 34 years,11.3
Aged 35 to 49 years,18.7
Aged 50 to 64 years,22.5
Aged 65 years and over,19.6
